time,surface_downwelling_photosynthetic_photon_flux_in_air
2023-11-02 13:45:00+00:00,2.93
2023-11-02 14:00:00+00:00,2.93
2023-11-02 14:15:00+00:00,3.2
2023-11-02 14:30:00+00:00,3.06
2023-11-02 14:45:00+00:00,2.95
2023-11-02 15:00:00+00:00,3.93
2023-11-02 15:15:00+00:00,7.45
2023-11-02 15:30:00+00:00,16.37
2023-11-02 15:45:00+00:00,29.26
2023-11-02 16:00:00+00:00,27.29
2023-11-02 16:15:00+00:00,20.77
2023-11-02 16:30:00+00:00,33.03
2023-11-02 16:45:00+00:00,33.11
2023-11-02 17:00:00+00:00,39.12
2023-11-02 17:15:00+00:00,54.61
2023-11-02 17:30:00+00:00,63.22
2023-11-02 17:45:00+00:00,37.79
2023-11-02 18:00:00+00:00,69.77
2023-11-02 18:15:00+00:00,36.77
2023-11-02 18:30:00+00:00,89.54
2023-11-02 18:45:00+00:00,113.19
2023-11-02 19:00:00+00:00,85.36
2023-11-02 19:15:00+00:00,86.06
2023-11-02 19:30:00+00:00,56.93
2023-11-02 19:45:00+00:00,107.62
2023-11-02 20:00:00+00:00,77.9
2023-11-02 20:15:00+00:00,148.29
2023-11-02 20:30:00+00:00,155.72
2023-11-02 20:45:00+00:00,196.43
2023-11-02 21:00:00+00:00,155.09
2023-11-02 21:15:00+00:00,166.66
2023-11-02 21:30:00+00:00,328.82
2023-11-02 21:45:00+00:00,321.12
2023-11-02 22:00:00+00:00,304.98
2023-11-02 22:15:00+00:00,182.67
2023-11-02 22:30:00+00:00,86.46
2023-11-02 22:45:00+00:00,79.3
2023-11-02 23:00:00+00:00,84.06
2023-11-02 23:15:00+00:00,52.48
2023-11-02 23:30:00+00:00,55.36
2023-11-02 23:45:00+00:00,43.33
2023-11-03 00:00:00+00:00,34.36
2023-11-03 00:15:00+00:00,56.24
2023-11-03 00:30:00+00:00,29.74
2023-11-03 00:45:00+00:00,14.05
2023-11-03 01:00:00+00:00,5.32
2023-11-03 01:15:00+00:00,4.45
2023-11-03 01:30:00+00:00,2.97
2023-11-03 01:45:00+00:00,2.96
2023-11-03 02:00:00+00:00,2.96
2023-11-03 02:15:00+00:00,2.95
2023-11-03 02:30:00+00:00,2.95
2023-11-03 02:45:00+00:00,2.94
2023-11-03 03:00:00+00:00,2.94
2023-11-03 03:15:00+00:00,2.94
2023-11-03 03:30:00+00:00,2.94
2023-11-03 03:45:00+00:00,2.94
2023-11-03 04:00:00+00:00,2.94
2023-11-03 04:15:00+00:00,2.94
2023-11-03 04:30:00+00:00,2.94
2023-11-03 04:45:00+00:00,2.94
2023-11-03 05:00:00+00:00,2.94
2023-11-03 05:15:00+00:00,2.94
2023-11-03 05:30:00+00:00,2.94
2023-11-03 05:45:00+00:00,2.95
2023-11-03 06:00:00+00:00,2.94
2023-11-03 06:15:00+00:00,2.94
2023-11-03 06:30:00+00:00,2.94
2023-11-03 06:45:00+00:00,2.94
2023-11-03 07:00:00+00:00,2.94
2023-11-03 07:15:00+00:00,2.94
2023-11-03 07:30:00+00:00,2.94
2023-11-03 07:45:00+00:00,2.94
2023-11-03 08:00:00+00:00,2.94
2023-11-03 08:15:00+00:00,2.94
2023-11-03 08:30:00+00:00,2.94
2023-11-03 08:45:00+00:00,2.94
2023-11-03 09:00:00+00:00,2.94
2023-11-03 09:15:00+00:00,2.95
2023-11-03 09:30:00+00:00,2.94
2023-11-03 09:45:00+00:00,2.94
2023-11-03 10:00:00+00:00,2.94
2023-11-03 10:15:00+00:00,2.94
2023-11-03 10:30:00+00:00,2.94
2023-11-03 10:45:00+00:00,2.94
2023-11-03 11:00:00+00:00,2.94
2023-11-03 11:15:00+00:00,2.94
2023-11-03 11:30:00+00:00,2.94
2023-11-03 11:45:00+00:00,2.94
2023-11-03 12:00:00+00:00,2.94
2023-11-03 12:15:00+00:00,2.93
2023-11-03 12:30:00+00:00,2.92
2023-11-03 12:45:00+00:00,2.93
2023-11-03 13:00:00+00:00,2.94
2023-11-03 13:15:00+00:00,2.94
2023-11-03 13:30:00+00:00,2.93
2023-11-03 13:45:00+00:00,2.93
2023-11-03 14:00:00+00:00,2.93
2023-11-03 14:15:00+00:00,2.93
2023-11-03 14:30:00+00:00,2.93
2023-11-03 14:45:00+00:00,5.6
2023-11-03 15:00:00+00:00,12.14
2023-11-03 15:15:00+00:00,36.8
2023-11-03 15:30:00+00:00,65.77
2023-11-03 15:45:00+00:00,142.24
2023-11-03 16:00:00+00:00,197.23
2023-11-03 16:15:00+00:00,176.55
2023-11-03 16:30:00+00:00,240.22
2023-11-03 16:45:00+00:00,187.44
2023-11-03 17:00:00+00:00,301.53
2023-11-03 17:15:00+00:00,225.7
2023-11-03 17:30:00+00:00,267.63
2023-11-03 17:45:00+00:00,376.58
2023-11-03 18:00:00+00:00,463.12
2023-11-03 18:15:00+00:00,623.52
2023-11-03 18:30:00+00:00,677.35
2023-11-03 18:45:00+00:00,656.21
2023-11-03 19:00:00+00:00,532.9
2023-11-03 19:15:00+00:00,692.02
2023-11-03 19:30:00+00:00,740.73
2023-11-03 19:45:00+00:00,520.73
2023-11-03 20:00:00+00:00,655.04
2023-11-03 20:15:00+00:00,606.81
2023-11-03 20:30:00+00:00,706.33
2023-11-03 20:45:00+00:00,785.36
2023-11-03 21:00:00+00:00,722.95
2023-11-03 21:15:00+00:00,626.63
2023-11-03 21:30:00+00:00,369.91
2023-11-03 21:45:00+00:00,522.73
2023-11-03 22:00:00+00:00,680.7
2023-11-03 22:15:00+00:00,673.81
2023-11-03 22:30:00+00:00,439.94
2023-11-03 22:45:00+00:00,504.27
2023-11-03 23:00:00+00:00,156.1
2023-11-03 23:15:00+00:00,148.91
2023-11-03 23:30:00+00:00,88.2
2023-11-03 23:45:00+00:00,64.02
2023-11-04 00:00:00+00:00,50.34
2023-11-04 00:15:00+00:00,46.6
2023-11-04 00:30:00+00:00,23.27
2023-11-04 00:45:00+00:00,11.06
2023-11-04 01:00:00+00:00,4.92
2023-11-04 01:15:00+00:00,2.98
2023-11-04 01:30:00+00:00,2.98
2023-11-04 01:45:00+00:00,2.97
2023-11-04 02:00:00+00:00,2.96
2023-11-04 02:15:00+00:00,2.96
2023-11-04 02:30:00+00:00,2.96
2023-11-04 02:45:00+00:00,2.96
2023-11-04 03:00:00+00:00,2.97
2023-11-04 03:15:00+00:00,2.97
2023-11-04 03:30:00+00:00,2.97
2023-11-04 03:45:00+00:00,2.96
2023-11-04 04:00:00+00:00,2.96
2023-11-04 04:15:00+00:00,2.95
2023-11-04 04:30:00+00:00,2.95
2023-11-04 04:45:00+00:00,2.96
2023-11-04 05:00:00+00:00,2.96
2023-11-04 05:15:00+00:00,2.97
2023-11-04 05:30:00+00:00,2.98
2023-11-04 05:45:00+00:00,2.98
2023-11-04 06:00:00+00:00,2.98
2023-11-04 06:15:00+00:00,2.98
2023-11-04 06:30:00+00:00,2.98
2023-11-04 06:45:00+00:00,2.98
2023-11-04 07:00:00+00:00,2.97
2023-11-04 07:15:00+00:00,2.97
2023-11-04 07:30:00+00:00,2.97
2023-11-04 07:45:00+00:00,2.97
2023-11-04 08:00:00+00:00,2.97
2023-11-04 08:15:00+00:00,2.97
2023-11-04 08:30:00+00:00,2.96
2023-11-04 08:45:00+00:00,2.95
2023-11-04 09:00:00+00:00,2.96
2023-11-04 09:15:00+00:00,2.96
2023-11-04 09:30:00+00:00,2.96
2023-11-04 09:45:00+00:00,2.96
2023-11-04 10:00:00+00:00,2.96
